Type,Title,Authors,Venue,Year,Doi,Pdf,Website,Github,Slides,Image,Width
Workshop paper, Low-Frame-Rate Cell Tracking: Unmet Needs and Future Directions,"Mina Gachloo, Akhila Nangineedi, Mahsa Partovi, Fardifa Alam, Tzu Yu, James Schvaneveldt, Xiaoming Lu, Tirthankar Biswas, <br>Marc Russel Birtwistle, Federico Iuricich",CVPR,2025,,https://openaccess.thecvf.com/content/CVPR2025W/CVMI/papers/Gachloo_Low-Frame-Rate_Cell_Tracking_Unmet_Needs_and_Future_Directions_CVPRW_2025_paper.pdf,https://davislab.github.io/LFCT-dataset/,,https://clemson.box.com/s/emfn8ma4jlrwzvpc6x1ntcpmvsh8x21m,img/papers/cvpr2025.png,22
[Best paper award] - Workshop paper,Efficient representation and analysis for a large tetrahedral mesh using Apache Spark,"Yuehui Qian, Guoxi Liu, Federico Iuricich, Leila De Floriani",TopoInVis,2024,https://doi.ieeecomputersociety.org/10.1109/TopoInVis64104.2024.00005,https://clemson.box.com/s/0kche9uxvwj5hwlp7fk0p65grm405wa4,https://osf.io/68hwe/?view_only=088db835e5e341d88b350c2071df66bd,https://github.com/qyh-sunshine/Tetra_Spark,,img/papers/topoinvis2024.png,20
Journal paper,Parallel Topology-aware Mesh Simplification on Terrain Trees,"Yunting Song, Riccardo Fellegara, Federico Iuricich, Leila De Floriani",ACM TSAS,2024,https://doi.org/10.1145/365260,https://dl.acm.org/doi/pdf/10.1145/3652602,,https://github.com/UMDGeoVis/Terrain_Trees/tree/v1.0.0,,img/papers/tsas2025.png,22
Journal paper,A Task-Parallel Approach for Localized Topological Data Structures,"Guoxi Liu, Federico Iuricich",IEEE VIS (TVCG),2024,https://doi.ieeecomputersociety.org/10.1109/TVCG.2023.3327182,https://arxiv.org/abs/2308.15638,https://osf.io/b3d6k/,https://github.com/DaVisLab/ACTOPO,https://docs.google.com/presentation/d/1IS5SzfnI1nWipVkW3kw-c0FhbntTy9ax/edit?usp=sharing&ouid=105561812552279657870&rtpof=true&sd=true,img/papers/vis-2023.png,22
Journal paper,"Terrain trees: a framework for representing, analyzing and visualizing triangulated terrains","Riccardo Fellegara, Federico Iuricich, Yunting Song, Leila De Floriani",Geoinformatica,2023,https://doi.org/10.1007/s10707-022-00472-3,,,https://github.com/UMDGeoVis/Terrain_Trees,,img/papers/geoinformatica2.png,30
Journal paper,Topology-based individual tree segmentation for automated processing of terrestrial <br> laser scanning point clouds,"Xin Xu, Federico Iuricich, Kim Calders, John Armston, Leila De Floriani",IJAEOG,2023,https://www.sciencedirect.com/science/article/pii/S1569843222003338,,https://osf.io/hztw9/?view_only=617f20f68ac843609f814f235e2a0388,,,img/papers/ijaeog.png,20
Journal paper,A topology-based approach to individual tree segmentation from airborne LiDAR data,"Xin Xu, Federico Iuricich, Leila De Floriani",Geoinformatica,2023,https://doi.org/10.1007/s10707-023-00487-4,,https://osf.io/hztw9/?view_only=617f20f68ac843609f814f235e2a0388,,,img/papers/geoinformatica.png,22
Journal paper,Locus coeruleus and dorsal cingulate morphology contributions to slowed processing speed,"Mark A Eckert, Federico Iuricich, Kelly C Harris, Eric D Hamlett, Elena M Vazey, Gary Aston-Jones",Neuropsychologia,2023,10.1016/j.neuropsychologia.2022.108449,,,,,img/papers/neuropsychologia.png,25
Journal Paper,Relating individual cell division events to single-cell ERK and Akt activity time courses,"Alan D Stern, Gregory R Smith, Luis C Santos, Deepraj Sarmah, Xiang Zhang, Xiaoming Lu, Federico Iuricich,<br> Gaurav Pandey, Ravi Iyengar, Marc R Birtwistle",Scientific Reports,2022,https://www.nature.com/articles/s41598-022-23071-6,,,https://github.com/birtwistlelab/Predicting-Individual-Cell-Division-Events-from-Single-Cell-ERK-and-Akt-Dynamics,,img/papers/springernature.png,20
Short paper,CellTrackVis: analyzing the performance of cell tracking algorithms,"Weimin Li, Xiang Zhang, Alan Stern, Marc Birtwistle, Federico Iuricich",EuroVis,2022,https://doi.org/10.2312/evs.20221103,https://diglib.eg.org/bitstream/handle/10.2312/evs20221103/115-119.pdf?sequence=1&isAllowed=y,https://davislab.github.io/CellTrackVis/,https://github.com/DaVisLab/CellTrackVis,https://www.youtube.com/watch?v=Inlu-HhA4rQ&list=PLSlLplD3pBWjW3Ne2lQm7sODbEPZ2fIw6&index=4,img/papers/eurovis-short-2022a.png,18
